time,open,high,low,close,Plot,Plot,Volume
1716800400,3911.48,3924.13,3901.6,3910.99,3784.3954842602257,3949.7015027430084,11367.9005
1716804000,3910.99,3911,3884.17,3906.4,3788.340604818232,3952.1283944559277,13291.3691
1716807600,3906.41,3915.51,3885.3,3900.49,3785.6579542667146,3947.6580221121058,9364.4223
1716811200,3900.5,3915.02,3891.81,3911.99,3799.6943205304,3960.6346051561327,10677.9065
1716814800,3912,3939.94,3908.6,3930.89,3820.8344775860596,3981.017896376755,18061.6266
1716818400,3930.89,3953.4,3919,3943.85,3856.631677896821,4016.6654591313068,22072.1188
1716822000,3943.86,3977,3928.15,3963.39,3906.019051183768,4066.4480808928524,29999.1646
1716825600,3963.39,3974.3,3943.01,3946.2,3895.2394383937926,4053.5933424145364,16458.3203
1716829200,3946.2,3951.5,3924.39,3938.01,3896.8946655307177,4053.6997747313358,9660.3143
1716832800,3938.02,3942.32,3924.35,3926.65,3887.0852818993576,4041.9004248614488,6345.448
1716836400,3926.64,3929.85,3854.16,3873.25,3847.7899971816837,3999.477376449094,24286.0072
1716840000,3873.26,3897.74,3860.71,3892.92,3870.927597745327,4021.9713390328866,19760.1436
1716843600,3892.91,3905.14,3879.15,3890.64,3878.064186433338,4027.8439535080897,6540.067
1716847200,3890.64,3901.94,3884.05,3887.86,3864.3130648665547,4012.040717386924,8389.6158
1716850800,3887.87,3898.76,3883.1,3894.22,3853.6180938129196,3999.43583143998,4646.2716
1716854400,3894.21,3895.33,3864,3877.2,3847.2992874468373,3991.3948779557895,12271.3167
1716858000,3877.2,3910,3838,3847.94,3802.6475873567,3943.620174602579,20497.8377
1716861600,3847.95,3872,3834.74,3862.61,3804.6555094059486,3944.266186137195,17860.6952
1716865200,3862.61,3866.05,3827.41,3849.71,3768.966753324379,3905.859714891192,17786.9636
1716868800,3849.72,3854.65,3821.63,3836.59,3754.271313631308,3889.2424173277223,15671.0154
1716872400,3836.58,3860.58,3831.3,3860.57,3767.9757502627103,3902.0608062333363,8059.8509
1716876000,3860.58,3864.85,3845.99,3858,3763.7042171316475,3896.274350392551,11746.3135
1716879600,3857.99,3861.19,3842.86,3847.29,3748.386016095468,3879.073269615139,14559.0725
1716883200,3847.3,3881.01,3839,3876.61,3774.400945002719,3904.656558062434,16157.6985
1716886800,3876.6,3893.5,3868.2,3881,3783.9959326643316,3913.25450025253,15084.4973
1716890400,3881.01,3931.09,3878.6,3899.33,3799.1518657542088,3927.6084463153284,24040.5209
1716894000,3899.33,3913.88,3890.15,3904.34,3791.187130288616,3918.0710842113203,14837.0313
1716897600,3904.34,3911.62,3891.2,3893.09,3784.5622857026656,3909.9369158464892,12465.0995
1716901200,3893.1,3912,3853,3861.15,3764.8900735290063,3888.345326063176,29796.804
1716904800,3861.15,3884.49,3841.05,3856.99,3777.47804924984,3900.087293784401,26771.4333
1716908400,3856.99,3871.23,3831.29,3861.1,3802.447818531482,3924.6135075539673,27211.7572
1716912000,3861.1,3869.14,3820.04,3825.63,3768.3435157633935,3888.183544951007,22354.677
1716915600,3825.64,3846.1,3818.48,3825.1,3775.130590098712,3893.9670055774695,13066.8633
1716919200,3825.11,3840.5,3773.9,3800,3781.498274079555,3899.326222321134,32534.7063
1716922800,3800,3847.95,3795.19,3840.81,3812.61093106279,3930.2020265490664,20471.2248
1716926400,3840.8,3850,3823,3833.01,3808.4313759131333,3924.701010567416,7927.7145
1716930000,3833.01,3852.1,3827.11,3843.43,3813.5930445605595,3928.8383984380134,5468.4862
1716933600,3843.43,3864.85,3842.53,3863,3826.2965243546037,3940.7521861158357,22729.3958
1716937200,3862.99,3871.76,3841.6,3844.69,3813.547987032743,3926.4646714584437,6878.859
1716940800,3844.69,3855.19,3842.25,3848.59,3818.1985332313084,3930.105805966087,4388.562
1716944400,3848.6,3854.58,3835.15,3844.41,3820.6323821519404,3931.4749589254957,9124.1567
1716948000,3844.41,3862.41,3836.04,3847.41,3825.059458481083,3934.904827657373,10477.9291
1716951600,3847.41,3861.59,3844,3851,3830.6765177244793,3939.5674916286607,11984.5899
1716955200,3850.99,3888.55,3847.22,3871.79,3829.851860563655,3937.615400951649,21983.8702
1716958800,3871.79,3881.64,3861.32,3868.25,3814.666611086443,3920.9145617003783,14221.5244
1716962400,3868.24,3871.91,3856.36,3858.24,3809.42008253531,3914.446259864699,8182.2609
1716966000,3858.24,3859.92,3818.48,3820,3775.533903235014,3878.5707114597053,18194.795
